date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-14,220.78,224.2,218.0,221.16,5823430,220.78,224.2,218.0,221.16,5823430,0.0,1.0,ADBE,tiingo
2026-07-15,224.56,231.525,222.91,223.16,4771436,224.56,231.525,222.91,223.16,4771436,0.0,1.0,ADBE,tiingo
2026-07-16,235.31,235.48,222.042,228.705,5787325,235.31,235.48,222.042,228.705,5787325,0.0,1.0,ADBE,tiingo
2026-07-17,237.25,240.15,232.36,235.26,7269910,237.25,240.15,232.36,235.26,7269910,0.0,1.0,ADBE,tiingo
2026-07-20,234.74,236.66,227.5,235.67,5123677,234.74,236.66,227.5,235.67,5123677,0.0,1.0,ADBE,tiingo
2026-07-21,227.16,231.5,222.3,222.85,5060612,227.16,231.5,222.3,222.85,5060612,0.0,1.0,ADBE,tiingo
2026-07-22,218.36,229.66,218.0,229.66,4361285,218.36,229.66,218.0,229.66,4361285,0.0,1.0,ADBE,tiingo
2026-07-23,212.17,222.75,210.875,222.18,4363216,212.17,222.75,210.875,222.18,4363216,0.0,1.0,ADBE,tiingo
2026-07-24,225.11,226.93,216.15,216.495,4719923,225.11,226.93,216.15,216.495,4719923,0.0,1.0,ADBE,tiingo
2026-07-27,237.75,242.05,229.79,230.39,5543598,237.75,242.05,229.79,230.39,5543598,0.0,1.0,ADBE,tiingo
