symbol,date,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,source
AAPL,2025-09-27,2025,FY,USD,3818743810000,3895186810000,9.359807406268247,34.94005139843203,39.43814037077161,26.969935053694947,0.5292846905357032,0.8932929222186667,0.995286135166503,28.8371936709443,-11.588738000468274,0.8438999766441395,1.0,-17674000000,32160000000,0.3117962593356549,0.36742927918411644,0.3117962593356549,1.5191298333175105,0.5196842110031786,0.6872062393471412,0.029331635106467118,0.02586374077814872,0.11405428679069267,1.0869379381090785,0.030553079216937677,0.06632288945864702,0.08302075398703868,0.030908710811440764,0,69600000000,69410000000,6502000000,63.9879878220208,115.40052498189719,9.445465242577843,73.43345306459864,-41.967071917298554,90284000000,98767000000.0,73733000000,-137551000000,fmp
AAPL,2024-09-28,2024,FY,USD,3495160329570,3584276329570,9.166126637180815,30.30997961650346,32.94159686022039,26.5639689436745,0.6604609797672868,0.8673125765340832,1.2615643936161134,22.587017267616833,-12.352478525015636,0.7590881483581001,1.0,-23405000000,22275000000,0.25682503150857583,0.3434290787011036,0.25682503150857583,1.6459350307287095,0.4430708117427921,0.6533607652660827,0.026818798327209237,0.03113076074921754,0.07988736110406414,0.8254259501965924,0.02415896275269477,0.06673827151022287,0.08022299794136074,0.02988990755303234,0,63614000000,65785500000,6808500000,61.83255974529134,119.65847721913745,12.642570548414087,74.47513029370543,-45.18334692543202,102809000000,108807000000.0,56950000000,-155043000000,fmp
AAPL,2023-09-30,2023,FY,USD,2695569789510,2789534789510,7.277964933430737,25.234838836561337,28.0118773046875,21.592832070393534,0.7273508375390904,0.9880116717592975,1.1396773029537606,23.391122856319186,-11.431345868845547,0.8528082577196314,0.9665757336256788,-1742000000,52634000000,0.27509834563776475,0.32410277058658404,0.27509834563776475,1.5607601454639075,0.4338918291689624,0.551446146423833,0.03598311584343425,0.03694358068098929,0.0991378920420108,0.9513846688080563,0.02859230076835775,0.06504820172978332,0.07804897139204509,0.028263563666723196,0,60958500000,63363000000,5638500000,58.07564866874519,106.72146803214763,10.791292490321615,68.8669411590668,-37.85452687308083,89683000000,102938094877.61131,62146000000,-146871000000,fmp
AAPL,2022-09-24,2022,FY,USD,2439367314090,2548201314090,6.462136379080359,20.861076160571752,22.865512540850478,19.13954929539275,0.8174525680121378,0.8793560286267226,1.2239211246154926,20.801963754945305,-12.67929632054538,0.8379553831557559,0.9759821033482472,-18577000000,33957000000,0.2829244092925685,0.3394268192003774,0.2829244092925685,1.9695887275023682,0.45174761493312454,0.6008713457059057,0.040913477615088595,0.04568520671581333,0.08766199212450164,0.9643371757925072,0.02715505873283155,0.06363737802032826,0.06657148363798665,0.022920005680550203,0,56219000000,59439000000,5763000000,56.400204905560855,104.6852773031054,8.07569806661716,64.47590297217802,-40.209374330927375,111320000000,113899047228.02953,50672000000,-166678000000,fmp
AAPL,2021-09-25,2021,FY,USD,2453750882240,2555332882240,6.985276469491576,24.561534076395162,27.490590752746012,20.7521186512474,0.8249577702702703,1.0745531195957954,1.0988381918039714,21.950837680915992,-10.97841529675105,0.8669773915591491,0.9763526803275757,9355000000,58882000000,0.26974205275183616,0.3228644668019974,0.26974205275183616,1.5007132667617689,0.3892505618225257,0.48309913489209433,0.038585824129614886,0.03788200370004322,0.1065476076049136,0.9823644097837646,0.030302036264033657,0.06006555190163388,0.059904269074427925,0.021611898845597662,0,44475500000,48529500000,5320500000,51.390968708397914,93.85107122231561,11.27659274770989,62.667561456107805,-31.183509766207806,105618000000,95246155200.67395,63090000000,-153076000000,fmp
